,titre,ingredients,url
0,Lammele,"4 œufs, 120 g de sucre, 120 g de farine, 20 g de fécule, 50 g de beurre, 1 gousse de vanille, sucre glace",https://www.cuisine-libre.org/lammele
1,Gâteau au chocolat sans beurre,"200 g de chocolat noir à dessert, 2 ou 3 œufs, 200 à 300 g de compote de pommes, 50 g de farine de blé, 1 sachet de levure, 100 g de sucre",https://www.cuisine-libre.org/gateau-au-chocolat-sans-beurre
2,Biscuits sablés,"250 g de farine, 125 g de beurre ramolli, 125 g de sucre fin, 1 œuf entier",https://www.cuisine-libre.org/biscuits-sables
3,Meringues fantômes,"3 blancs d’œufs (= 100 g), 100 g de sucre glace, 100 g de sucre blanc, 2 carrés de chocolat noir",https://www.cuisine-libre.org/meringues-fantomes
4,Gâteau des abeilles de Litha,"2 œufs, 100 g de sucre, 150 g de farine, 1 sachet de levure, 1 pincée de sel, 5 c. à soupe de miel d’acacia, un peu de lait, un peu d’huile neutre, un peu de beurre, un peu de sucre glace",https://www.cuisine-libre.org/gateau-au-miel-de-litha
5,Gâteau au chocolat granuleux,"125 g de chocolat à pâtisserie noir, 120 g de farine blanche, 70 g de sucre (pas trop fin), 100 g de beurre, 1 demi sachet de levure chimique, 1 œuf, 1 bonne pincée de sel (si le beurre est doux)",https://www.cuisine-libre.org/gateau-au-chocolat-granuleux
6,Quatre-quarts,"4 œufs, 200 g de farine T55, 200 g de sucre en poudre, 200 g de beurre doux, 5 g de levure chimique (½ sachet), arôme vanille (facultatif)",https://www.cuisine-libre.org/quatre-quarts
7,Tartelettes aux myrtilles,"400 g de myrtilles fraîches voire surgelées ou encore en conserve, 250 g de farine, 125 g de beurre, 100 g de sucre, 1 œuf, 50 cl de lait, 3 œufs, 100 g de sucre, 50 g de farine, 1 cuillère à café de sucre vanillé",https://www.cuisine-libre.org/tartelettes-aux-myrtilles
8,Marbré aux noix,"1 tasse (250 g) de farine, 1 tasse de poudre de noix, 1 tasse de sucre, 1 tasse d’huile, 1 sachet de levure chimique, 4 c. à café de cacao en poudre, 1 pincée de sel, 1 citron (jus et zeste)",https://www.cuisine-libre.org/marbre-aux-noix
9,Madeleines au citron,"2 œufs, 120 g de sucre, 1 citron biologique, 100 g de farine, 1 sachet de levure, 1 dl d’huile d’olive au citron",https://www.cuisine-libre.org/madeleines-au-citron
10,Gâteau d’automne aux noisettes,"125 g de poudre de noisette [*], 2 œufs, 90 g de farine, 100 g de sucre, 75 g de beurre ou huile de noisette, ½ sachet de levure chimique",https://www.cuisine-libre.org/gateau-d-automne-aux-noisettes
11,Cornuelles,"500 g de farine, 250 g de beurre mou, 240 g de sucre en poudre, 3 œufs, ½ sachet de levure chimique, 1 c. à soupe de Pastis (ou autre alcool anisé), 1 c. à soupe d’extrait de vanille, 60 g de graines d’anisou de petites perles de sucres à l’anis rouges et blanches, 1 jaune d’œuf, 1 c. à soupe de lait",https://www.cuisine-libre.org/cornuelles
12,Gâteau de patates douces,"1 kg de patates douces, 60 g de beurre, 10 cl de lait, 2 blancs d’œufs, 2 c. à café de fécule de pomme de terre, 1 sachet de sucre vanillé, 1 c. à café de cannelle en poudre, 10 cl de rhum, 1 pincée de sel fin",https://www.cuisine-libre.org/gateau-de-patates-douces
